nome_posto,combustivel,endereco,bairro,data_coleta,valor
"Rede Marcela - Posto Central","Gasolina Aditivada","Av. Civit, 2100","Colina de Laranjeiras",2026-03-04,6.09
"Rede Marcela - Posto Central","Gasolina Aditivada","Av. Civit, 2100","Colina de Laranjeiras",2026-03-07,6.29
"Rede Marcela - Posto Central","Gasolina Aditivada","Av. Civit, 2100","Colina de Laranjeiras",2026-03-13,6.79
"Rede Marcela - Posto Central","Gasolina Aditivada","Av. Civit, 2100","Colina de Laranjeiras",2026-03-18,6.79
"Rede Marcela - Posto Central","Gasolina Aditivada","Av. Civit, 2100","Colina de Laranjeiras",2026-03-25,6.79
"Yahoo Auto Posto",Diesel,ES-010,Manguinhos,2026-03-02,6.09
"Yahoo Auto Posto",Diesel,ES-010,Manguinhos,2026-03-04,6.09
"Yahoo Auto Posto",Diesel,ES-010,Manguinhos,2026-03-07,6.09
"Yahoo Auto Posto",Diesel,ES-010,Manguinhos,2026-03-13,6.59
"Yahoo Auto Posto",Diesel,ES-010,Manguinhos,2026-03-18,6.59
"Yahoo Auto Posto",Diesel,ES-010,Manguinhos,2026-03-25,6.79
"Yahoo Auto Posto",Etanol,ES-010,Manguinhos,2026-03-02,4.89
"Yahoo Auto Posto",Etanol,ES-010,Manguinhos,2026-03-04,4.89
"Yahoo Auto Posto",Etanol,ES-010,Manguinhos,2026-03-07,4.89
"Yahoo Auto Posto",Etanol,ES-010,Manguinhos,2026-03-13,4.89
"Yahoo Auto Posto",Etanol,ES-010,Manguinhos,2026-03-18,4.89
"Yahoo Auto Posto",Etanol,ES-010,Manguinhos,2026-03-25,4.99
"Yahoo Auto Posto",Gasolina,ES-010,Manguinhos,2026-03-02,5.97
"Yahoo Auto Posto",Gasolina,ES-010,Manguinhos,2026-03-04,5.97
"Yahoo Auto Posto",Gasolina,ES-010,Manguinhos,2026-03-07,5.97
"Yahoo Auto Posto",Gasolina,ES-010,Manguinhos,2026-03-13,6.59
"Yahoo Auto Posto",Gasolina,ES-010,Manguinhos,2026-03-18,6.59
"Yahoo Auto Posto",Gasolina,ES-010,Manguinhos,2026-03-25,6.45
"Yahoo Auto Posto","Gasolina Aditivada",ES-010,Manguinhos,2026-03-02,5.97
"Yahoo Auto Posto","Gasolina Aditivada",ES-010,Manguinhos,2026-03-04,5.97
"Yahoo Auto Posto","Gasolina Aditivada",ES-010,Manguinhos,2026-03-07,5.97
"Yahoo Auto Posto","Gasolina Aditivada",ES-010,Manguinhos,2026-03-13,6.59
"Yahoo Auto Posto","Gasolina Aditivada",ES-010,Manguinhos,2026-03-18,6.59
"Yahoo Auto Posto","Gasolina Aditivada",ES-010,Manguinhos,2026-03-25,6.45
